Word,POS Tag,Meaning
ಅಂಕ,(ನಾ),"ನಾಟಕದ ಒಂದು ಭಾಗ, ಪರೀಕ್ಷೆಯಲ್ಲಿ ಬರೆದ ಉತ್ತರಕ್ಕೆ ನೀಡಿದ ಗುಣ, ಮೌಲ್ಯಮಾಪನದ ಪ್ರಮಾಣ, ಮಾರ್ಕ್."
ಅಂಕಣ,(ನಾ),"ಮನೆಯ ಎರಡು ಕಂಬಗಳ ತೊಲೆಗಳ ನಡುವಿನ ಪ್ರದೇಶ, ಪತ್ರಿಕೆಯಲ್ಲಿನ ಕಾಲಂ, ಪತ್ರಿಕೆಯಲ್ಲಿ ನಿರ್ಧಿಷ್ಟ ವಿಷಯಕ್ಕೆ ಗೊತ್ತುಪಡಿಸಿದ ಜಾಗ."
ಅಂಕಿತ,"(ನಾ),(ಗು),(ನಾ)","ಗುರುತು, ರುಜು. ಗುರುತು ಮಾಡಿದ ಅಂಕಿತ ನಾಮ. ಇಟ್ಟ ಹೆಸರು."
ಅಂಕುಡೊಂಕು,(ನಾ),"ಸೊಟ್ಟಾದುದು,  ನೇರವಲ್ಲದ್ದು."
ಅಂಕೆ,(ನಾ),"ಸಂಖ್ಯೆ, ಹಿಡಿತ."
ಅಂಕೆ ಸಂಖ್ಯೆ,(ನಾ),"ಅಂಕೆ ಮತ್ತು ಸಂಖ್ಯೆಗಳು, ಒಂದರಿಂದ ಒಂಭತ್ತು ಮತ್ತು ಅದರ ಮೇಲಿನ ಸಂಖ್ಯೆಗಳು."
ಅಂಗ,(ನಾ),"ದೇಹ ಭಾಗ, ಒಂದು ದೇಶ. ಮುತ್ತು."
ಅಂಗಡಿ,(ನಾ),ಪದಾರ್ಥಗಳನ್ನು ಮಾರುವ ಸ್ಥಳ.
ಅಂಗಣ,(ನಾ),"ಮನೆಗೆ ಸೇರಿರುವ ಆವರಣದ ಬಯಲು, ಅಂಗಳ."
ಅಂಗಲಾಚು,(ಕ್ರಿ),"ಬೇಡು, ಮೊರೆಯಿಡು."
ಅಂಗಳ,(ನಾ),ಅಂಗಣ.
ಅಂಗಾತ,(ನಾ),ಬೆನ್ನು ಕೆಳಗಾಗಿ.
ಅಂಗಾರ,(ನಾ),"ಕೆಂಡ, ಇದ್ದಲು."
ಅಂಗಾಲು,(ನಾ),ಕಾಲಿನ ಅಡಿ.
ಅಂಗಿ,(ನಾ),"ಚೊಗೆ, ಉಡುಪು, ಕುತ್ತಿಗೆಯಿಂದ ಕೆಳಗಿನ ಮತ್ತು ಸೊಂಟದ ಮೇಲಿನ ಭಾಗವನ್ನು ಮುಚ್ಚುವಂತೆ ಧರಿಸುವ ತೋಳಿರುವ ಉಡುಪು."
